,,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
2639,Cedric Teuchert\f956479d,de GER,MFFW,Union Berlin,de Bundesliga,24,1997,1.2,16.7,25,66.7,304.2,63.3,5,5.83,85.7,10,11.7,85.7,0.83,3.33,25,0,0.08,-0.08,1.67,2.5,0,0,0.83,Matches
2640,Arthur Theate\df8d6029,be BEL,DF,Bologna,it Serie A,21,2000,26.9,46,54.9,83.8,927,323,16.6,18.4,90.1,22.3,24.8,89.7,6.84,10.5,65,0.04,0.01,0.03,0.22,4.09,0.3,0.07,3.23,Matches
2641,Jan Thielmann\fd53759d,de GER,MFFW,Köln,de Bundesliga,19,2002,13.2,18.6,30.9,60.3,354.2,103.6,7.42,11.2,66.2,7.35,10.9,67.4,3.26,5.76,56.6,0.23,0.17,0.06,1.67,0.98,1.52,0.91,2.42,Matches
2642,Sada Thioub\f4bc42b1,sn SEN,MF,Angers,fr Ligue 1,26,1995,0,2,4,50,15,0,2,3,66.7,0,0,,0,0,,0,0,0,0,0,0,0,0,Matches
2643,Sada Thioub\f4bc42b1,sn SEN,DF,Saint-Étienne,fr Ligue 1,26,1995,10.6,38.6,49.7,77.6,636.9,248.8,20.7,23.6,87.6,13.8,16.8,82,3.4,7.08,48,0.09,0.1,-0.01,0.94,2.64,1.13,0.38,4.15,Matches
2644,Luke Thomas\fc027d02,eng ENG,DF,Leicester City,eng Premier League,20,2001,21.2,47.5,59.2,80.3,759.4,277.5,23.9,26.4,90.5,20.2,23.9,84.6,2.5,5.99,41.7,0.05,0.08,-0.03,0.52,3.11,0.66,0.09,3.44,Matches
2645,Romain Thomas\275e2c51,fr FRA,DF,Angers,fr Ligue 1,33,1988,28.5,52,59.1,88,1196.8,414.3,12.3,13.1,94.1,27.6,29.7,93.1,11.7,15.5,75.5,0,0,0,0.07,2.63,0,0,2.84,Matches
2646,Adrien Thomasson\c76b7567,fr FRA,MF,Strasbourg,fr Ligue 1,27,1993,26.5,38.4,49.7,77.3,660.5,162.3,18.6,22.1,84.3,15.3,18.3,83.7,3.66,6.34,57.7,0.15,0.17,-0.02,1.28,3.32,1.28,0.38,3.92,Matches
2647,Erik Thommy\df8e7b62,de GER,DFFW,Stuttgart,de Bundesliga,26,1994,3,29.3,40,73.3,550,147.3,12.7,15.7,80.9,11,12.7,86.8,4.33,8,54.2,0,0.17,-0.17,3,2,1,0.67,2.33,Matches
2648,Dominic Thompson\235a62f8,eng ENG,DF,Brentford,eng Premier League,21,2000,1.6,13.1,25.6,51.2,211.3,57.5,6.25,8.75,71.4,5,6.25,80,1.25,8.13,15.4,0,0,0,0,0,0,0,0.63,Matches
2649,Morten Thorsby\d1b49282,no NOR,MF,Sampdoria,it Serie A,25,1996,32.7,22.5,30.6,73.5,326.9,99.2,12.8,16,80.3,7.22,9.85,73.3,1.22,2.32,52.6,0.03,0.03,0,0.4,1.93,0.37,0,2.51,Matches
2650,Thuler\db23d9fc,br BRA,DF,Montpellier,fr Ligue 1,22,1999,9.5,29.4,34.9,84,608.8,198.5,9.16,10.3,88.8,15.5,16.9,91.3,4.53,6.95,65.2,0,0,0,0,0.74,0,0,1.26,Matches
2651,Marcus Thuram\6f8cd6d0,fr FRA,FWMF,M'Gladbach,de Bundesliga,23,1997,10.9,16.1,21.8,73.5,251.4,65.1,7.61,9.91,76.9,6.79,8.62,78.7,1.01,1.28,78.6,0,0.14,-0.14,1.19,0.73,1.19,0.18,2.11,Matches
2652,Khéphren Thuram-Ulie\7d9397f8,fr FRA,MF,Nice,fr Ligue 1,20,2001,21.1,46.9,54.1,86.8,867.7,183.8,18.5,20.4,90.7,21.9,23.9,91.7,5.5,7.49,73.4,0.09,0.12,-0.03,1.04,4.55,0.85,0.05,4.08,Matches
2653,Alexis Tibidi\ca6f4846,fr FRA,FWMF,Stuttgart,de Bundesliga,17,2003,4.3,20.9,27.2,76.9,313.5,57.2,13.3,15.1,87.7,5.58,8.14,68.6,1.63,2.33,70,0,0.07,-0.07,0.93,0.47,0.7,0,0.93,Matches
2654,Cheikh Tidiane Sabaly\9ddf7fae,sn SEN,FWMF,Metz,fr Ligue 1,22,1999,1.7,19.4,21.2,91.7,273.5,60,12.4,12.9,95.5,7.06,7.06,100,0,1.18,0,0,0.06,-0.06,1.18,0.59,0.59,0,1.76,Matches
2655,Youri Tielemans\56f7a928,be BEL,MF,Leicester City,eng Premier League,24,1997,29.2,49.2,59.8,82.3,928.5,262.6,20.7,23.3,88.8,21.8,24.8,88,5.99,9.97,60.1,0.14,0.17,-0.03,1.37,5.62,0.99,0.21,5.62,Matches
2656,Kieran Tierney\fce2302c,sct SCO,DF,Arsenal,eng Premier League,24,1997,21.3,42.4,54.6,77.7,807.2,259,16.5,18.8,88,21.1,24.6,85.9,4.32,9.34,46.2,0.14,0.09,0.05,1.03,3.43,1.17,0.75,3.57,Matches
2657,Steffen Tigges\6b8887c2,de GER,FWMF,Dortmund,de Bundesliga,23,1998,1.2,20,35.8,55.8,320,88.3,10.8,21.7,50,5.83,9.17,63.6,1.67,2.5,66.7,0,0.17,-0.17,0.83,1.67,0,0,1.67,Matches
2658,Malik Tillman\a5420709,us USA,FWMF,Bayern Munich,de Bundesliga,19,2002,1.2,25.8,33.3,77.5,386.7,128.3,15.8,18.3,86.4,8.33,11.7,71.4,0.83,1.67,50,0,0.33,-0.33,2.5,0,1.67,0,5,Matches
2659,Timothy Tillman\a5bea1fb,de GER,MF,Greuther Fürth,de Bundesliga,22,1999,22.3,22.7,32.1,70.7,413.3,127.4,9.87,11.7,84,9.73,11.9,81.6,2.6,6.1,42.6,0.09,0.1,-0.01,1.12,1.84,0.81,0.09,2.87,Matches
2660,David Timor\174651c8,es ESP,MF,Getafe,es La Liga,31,1989,3.8,36.8,46.3,79.5,813.7,237.6,14.2,16.6,85.7,14.5,16.3,88.7,7.63,12.6,60.4,0,0,0,0,4.21,0.53,0,5.26,Matches
2661,Jean-Clair Todibo\88f130ed,fr FRA,DF,Nice,fr Ligue 1,21,1999,34.6,60.8,69.2,87.8,1313.2,400,15.8,17.2,91.4,35.5,37.4,95,9.34,13.8,67.4,0,0.02,-0.02,0.4,4.88,0.26,0.03,3.73,Matches
2662,Umut Tohumcu\e547d3cf,de GER,MF,Hoffenheim,de Bundesliga,16,2004,0.1,0,0,,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,Matches
2663,Karl Toko Ekambi\5ceba7fc,cm CMR,FW,Lyon,fr Ligue 1,28,1992,25.5,29.5,37.1,79.5,474.9,96.1,15.8,18.3,86.5,10.6,13,81.6,2.27,3.65,62.4,0.2,0.17,0.02,1.45,0.98,1.65,0.63,2.51,Matches
2664,Corentin Tolisso\652d4c37,fr FRA,MF,Bayern Munich,de Bundesliga,26,1994,7.8,62.7,72.2,86.9,1197.3,361.5,27.4,30.3,90.7,25.8,28.6,90.1,8.59,11,77.9,0.13,0.23,-0.1,2.05,9.74,0.9,0,10,Matches
2665,Jeremy Toljan\a96e5dc0,de GER,DF,Sassuolo,it Serie A,26,1994,15.5,48.7,55.2,88.3,838.6,269.6,23.4,25.1,93.3,19.7,22,89.4,4.9,6.71,73.1,0.06,0.07,-0.01,0.84,2.13,0.71,0.26,2.45,Matches
2666,Rafael Tolói\c56dc39e,it ITA,DF,Atalanta,it Serie A,30,1990,16,49.1,58.8,83.5,1000.5,370.6,17,18.6,91.3,24.6,27.6,89.3,7.25,10.9,66.3,0.06,0.03,0.03,0.5,5.25,0.5,0.13,4.63,Matches
2667,Raúl de Tomás\02ef8778,es ESP,FW,Espanyol,es La Liga,26,1994,32.4,18.9,22.9,82.6,344.8,55.9,10.2,11.3,90.4,5.77,6.82,84.6,2.53,3.64,69.5,0.09,0.05,0.04,0.83,1.45,0.52,0.15,1.7,Matches
2668,Tiago Tomás\b492126a,pt POR,FW,Stuttgart,de Bundesliga,19,2002,11.9,11.7,18.2,64.4,161.9,31.5,7.56,10.5,72,2.94,4.29,68.6,0.59,1.68,35,0,0.08,-0.08,0.59,0.5,0.34,0.08,0.84,Matches
2669,Takehiro Tomiyasu\b3af9be1,jp JPN,DF,Arsenal,eng Premier League,22,1998,18.7,47.2,58,81.4,838,288.8,21.6,24.3,88.8,20.1,24.5,82.1,4.76,7.38,64.5,0.05,0.03,0.02,0.64,3.96,0.91,0.7,2.94,Matches
2670,Takehiro Tomiyasu\b3af9be1,jp JPN,DF,Bologna,it Serie A,22,1998,0.1,30,30,100,930,830,0,0,,10,10,100,20,20,100,0,0,0,10,0,10,10,0,Matches
2671,James Tomkins\e7ca0439,eng ENG,DF,Crystal Palace,eng Premier League,32,1989,6.1,45.2,51.5,87.9,1097,286.9,7.54,8.36,90.2,27.4,29,94.4,10.2,13.4,75.6,0,0.07,-0.07,0.33,0.82,0,0,1.48,Matches
2672,Fikayo Tomori\7edfbb8a,eng ENG,DF,Milan,it Serie A,23,1997,30.2,49.8,56.2,88.7,1082.4,329.8,11.7,12.7,92.2,28.5,30.4,93.8,8.94,12.1,74.2,0,0,0,0.1,2.38,0,0,2.38,Matches
2673,Sandro Tonali\0db169ae,it ITA,MF,Milan,it Serie A,21,2000,28.9,41.8,51.2,81.6,863.7,235.2,15.3,16.9,90.4,17.3,19.5,89,8.27,13.1,62.9,0.07,0.14,-0.07,1.52,3.91,0.9,0.24,3.6,Matches
2674,Lorenzo Tonelli\8cc29864,it ITA,DF,Empoli,it Serie A,31,1990,9.7,47.9,56.7,84.5,1041.4,408.9,13.5,14.7,91.6,24.9,27,92.4,8.76,13.5,64.9,0,0.02,-0.02,0.52,3.92,0.62,0,4.64,Matches
2675,Ivan Toney\e09f279b,eng ENG,FW,Brentford,eng Premier League,25,1996,32.3,14.2,24.1,58.8,207.3,71.8,8.45,12.2,69.1,3.96,7.24,54.7,1.05,2.29,45.9,0.15,0.18,-0.02,1.24,1.8,0.87,0.06,2.38,Matches
2676,Ernesto Torregrossa\bf39bdec,it ITA,FW,Sampdoria,it Serie A,29,1992,1.3,23.8,35.4,67.4,457.7,100.8,13.1,16.2,81,6.92,10.8,64.3,3.85,5.38,71.4,0,0.08,-0.08,1.54,3.08,0.77,0,2.31,Matches
2677,Lucas Torreira\52611641,uy URU,MF,Fiorentina,it Serie A,25,1996,24.4,49.3,56.2,87.6,1062.2,232.4,14.5,16.2,89.6,24.6,26.9,91.5,9.55,11.8,80.6,0.04,0.07,-0.03,0.94,4.02,1.02,0.08,4.71,Matches
2678,Raúl Torrente\4d753a3f,es ESP,DF,Granada,es La Liga,20,2001,14.2,31.3,42.5,73.8,733.9,257.5,8.1,9.44,85.8,15.8,18.5,85.5,7.39,13.7,53.8,0,0.06,-0.06,0.28,1.83,0.07,0,1.83,Matches
2679,Ferrán Torres\9e1035f8,es ESP,FW,Manchester City,eng Premier League,21,2000,3.4,16.2,21.2,76.4,245.3,22.1,8.53,10.6,80.6,5.29,6.18,85.7,1.47,1.76,83.3,0.29,0,0.29,0.29,0.59,0.29,0,0.59,Matches
2680,Ferrán Torres\9e1035f8,es ESP,FW,Barcelona,es La Liga,21,2000,15.7,31.5,37.4,84.3,490.3,99.6,18.2,20.4,88.8,10.4,12,86.2,2.23,3.06,72.9,0.25,0.19,0.06,0.76,2.1,0.64,0.06,2.74,Matches
2681,Óliver Torres\58a9a4d9,es ESP,MFFW,Sevilla,es La Liga,26,1994,11.2,46.5,57.7,80.7,954.7,254.1,19.6,22.1,89.1,17.1,20,85.3,8.93,13.4,66.7,0.27,0.17,0.1,0.89,6.07,0.8,0.27,3.75,Matches
2682,Pau Torres\532e1e4f,es ESP,DF,Villarreal,es La Liga,24,1997,31.7,54.1,62.8,86.1,1255,422.5,13.2,14.6,90.7,28.8,30.8,93.6,11.5,16.3,70.7,0.03,0.03,0,0.25,5.43,0.19,0,5.27,Matches
2683,Roberto Torres\d733aa38,es ESP,MFFW,Osasuna,es La Liga,32,1989,9,30.2,48.6,62.2,627.8,214.3,13.4,16.4,81.8,10.2,15.4,66.2,6.33,14.3,44.2,0.22,0.23,-0.01,2.67,2.89,1.56,0.56,3.56,Matches
2684,Lucas Torró\0e4fef6e,es ESP,MF,Osasuna,es La Liga,27,1994,30.3,32.5,41.5,78.4,579.1,152.2,14.5,17.5,82.5,13.6,16.6,82.1,3.5,5.48,63.9,0,0.01,-0.01,0.23,2.9,0.43,0.03,4.03,Matches
2685,Jordan Torunarigha\f86cabbd,de GER,DF,Hertha BSC,de Bundesliga,23,1997,5.4,35.9,43.7,82.2,822.8,270,7.41,8.15,90.9,21.3,24.1,88.5,6.3,9.26,68,0.19,0,0.19,0.37,1.3,0,0,2.22,Matches
2686,Cenk Tosun\9a104dee,tr TUR,FW,Everton,eng Premier League,30,1991,0.1,20,20,100,370,0,10,10,100,10,10,100,0,0,,0,0,0,0,0,0,0,0,Matches
2687,Abdoulaye Touré\ef7cd87a,fr FRA,MF,Genoa,it Serie A,27,1994,4.8,28.5,36,79.2,459.8,78.8,14.6,16.3,89.7,10.6,13.8,77.3,2.5,4.38,57.1,0,0,0,0,2.5,0,0,1.67,Matches
2688,Almamy Touré\c8c60119,ml MLI,DF,Eint Frankfurt,de Bundesliga,25,1996,5.6,29.6,40.5,73.1,495.9,231.4,13.8,17,81.1,13.6,17.1,79.2,1.96,4.11,47.8,0,0,0,0,1.61,0,0,2.86,Matches
2689,Lucas Tousart\71ec39ef,fr FRA,MF,Hertha BSC,de Bundesliga,24,1997,21.8,24.9,33.7,73.7,481.7,152.8,9.82,11.9,82.3,10.6,13.3,79.4,3.67,6.15,59.7,0,0.04,-0.04,0.55,3.12,0.55,0.09,3.58,Matches
2690,Yoann Touzghar\4e47507a,tn TUN,FW,Troyes,fr Ligue 1,34,1986,16.2,14.9,18.9,78.8,216.3,25.4,9.2,11.3,81.4,4.44,5.37,82.8,0.86,1.11,77.8,0,0.06,-0.06,0.86,0.43,0.25,0,0.62,Matches
2691,Andros Townsend\b28bbd58,eng ENG,MF,Everton,eng Premier League,30,1991,16.2,21.1,30.1,70.2,367.2,128.1,10,11.7,85.3,8.52,10.8,78.9,2.28,5.93,38.5,0.12,0.15,-0.02,1.85,1.11,1.73,0.8,2.84,Matches
2692,Adama Traoré\9a28eba4,es ESP,FW,Wolves,eng Premier League,25,1996,11.9,20.6,27.6,74.5,354.9,66.7,10.5,13.4,78.6,7.14,9.5,75.2,2.61,3.45,75.6,0,0.14,-0.14,1.6,1.43,1.26,0.59,1.93,Matches
2693,Adama Traoré\9a28eba4,es ESP,FWDF,Barcelona,es La Liga,25,1996,4.2,29.3,41,71.5,483.1,110,16.9,19.5,86.6,8.57,14.3,60,2.62,4.52,57.9,0.48,0.17,0.31,1.67,1.67,2.86,1.9,2.62,Matches
2694,Amadou Traore\4eb0686f,fr FRA,FW,Bordeaux,fr Ligue 1,19,2002,0.2,10,20,50,160,0,5,15,33.3,5,5,100,0,0,,0,0,0,0,0,0,0,0,Matches
2695,Bertrand Traoré\c47541e0,bf BFA,MFFW,Aston Villa,eng Premier League,25,1995,2.4,25.8,34.6,74.7,464.6,105.8,12.5,14.2,88.2,10.4,13.8,75.8,2.92,4.17,70,0,0,0,0,2.08,1.67,0,4.17,Matches
2696,Boubacar Traoré\999ceb5f,ml MLI,MF,Metz,fr Ligue 1,19,2001,19.2,32.4,38.8,83.6,670.3,160.7,10.8,12.6,85.9,15.9,17.8,89.4,5.26,7.24,72.7,0.05,0.06,-0.01,0.73,2.5,0.42,0,3.49,Matches
2697,Charles Traore\de488e56,ml MLI,DF,Nantes,fr Ligue 1,29,1992,8,42.1,52.4,80.4,784.1,325.1,17.9,19.9,89.9,18.6,22.5,82.8,5.13,8.5,60.3,0,0,0,0,3.38,0.38,0,4,Matches
2698,Hamari Traoré\a4b1028a,ml MLI,DF,Rennes,fr Ligue 1,29,1992,32.1,57,67.8,84.1,1118.5,358.5,20,22.6,88.6,29.1,32.8,88.6,7.48,10.9,68.4,0.31,0.13,0.18,1.03,4.11,1.46,0.4,5.26,Matches
2699,Ismaël Traoré\b666421b,ci CIV,DF,Angers,fr Ligue 1,34,1986,35.7,43.6,48.3,90.3,995.3,294,8.38,9.1,92,26.2,27.5,95.3,8.74,10.9,80,0.03,0.03,0,0.22,1.09,0.03,0.03,1.37,Matches
2700,Kevin Trapp\ce17b5eb,de GER,GK,Eint Frankfurt,de Bundesliga,31,1990,32,25.4,38.9,65.2,728.8,464.3,6.09,6.09,100,10.3,10.6,97.9,8.78,22.1,39.7,0,0,0,0,0.31,0,0,0,Matches
2701,Miguel Trauco\e4b72e34,pe PER,DF,Saint-Étienne,fr Ligue 1,28,1992,12.4,42.3,57.4,73.6,749.1,296.4,20.2,23.8,85.1,17.2,21.6,79.5,4.11,9.11,45.1,0,0.02,-0.02,0.65,2.98,1.05,0.4,4.11,Matches
2702,Óscar Trejo\fc647b34,ar ARG,MF,Rayo Vallecano,es La Liga,33,1988,22.3,35.6,46.3,76.8,624,189.9,17.9,20.6,86.9,12.5,15,83,4.35,8.61,50.5,0.4,0.19,0.21,2.47,3.99,1.21,0.18,4.8,Matches
2703,Trézéguet\3ae14ed1,eg EGY,FW,Aston Villa,eng Premier League,26,1994,0.1,60,60,100,970,370,50,50,100,0,0,,10,10,100,0,0,0,0,20,10,0,10,Matches
2704,Manu Trigueros\963829d0,es ESP,MFFW,Villarreal,es La Liga,29,1991,24.2,40.8,50.8,80.3,731.9,223.4,18.1,20.6,87.8,17.4,20.2,86.1,4.55,7.64,59.5,0.17,0.11,0.06,0.91,5.29,1.28,0.12,5.74,Matches
2705,Simone Trimboli\f5f21026,it ITA,MF,Sampdoria,it Serie A,19,2002,0.7,64.3,72.9,88.2,1094.3,292.9,27.1,32.9,82.6,30,30,100,5.71,5.71,100,0,0.29,-0.29,2.86,7.14,2.86,0,10,Matches
2706,Christopher Trimmel\056d2d95,at AUT,DF,Union Berlin,de Bundesliga,34,1987,22.1,35.2,51.8,68,688.5,304.4,14.6,17.3,84.6,14.8,18.7,79.2,5.34,13.5,39.6,0,0.1,-0.1,1.4,2.85,1.13,0.72,3.8,Matches
2707,Francisco Trincão\77e39b04,pt POR,FWMF,Wolves,eng Premier League,21,1999,14.8,23.9,30.9,77.1,399.9,86.8,12.4,14.3,86.7,8.58,10.3,83.6,2.36,4.26,55.6,0.07,0.08,-0.01,1.01,1.82,0.88,0.34,2.16,Matches
2708,Kieran Trippier\21512407,eng ENG,DF,Newcastle Utd,eng Premier League,30,1990,4.8,39.6,57.5,68.8,831.9,436,15.4,17.7,87.1,14.8,21.3,69.6,8.33,16,51.9,0,0.08,-0.08,1.46,3.33,1.25,0,3.75,Matches
2709,Kieran Trippier\21512407,eng ENG,DF,Atlético Madrid,es La Liga,30,1990,10.8,56.7,71.6,79.2,1121.9,473.3,22.9,25.4,90.1,24.4,29.1,83.8,8.61,15.1,57.1,0,0.02,-0.02,0.65,5,2.13,0.37,8.06,Matches
2710,William Troost-Ekong\7ed4921e,ng NGA,DF,Watford,eng Premier League,27,1993,15.4,28.6,36.2,79,748.9,238.6,4.22,5.06,83.3,15.8,17.7,89.7,8.44,13,65,0,0.01,-0.01,0.06,1.88,0.06,0,2.01,Matches
2711,Leandro Trossard\38ceb24a,be BEL,FWMF,Brighton,eng Premier League,26,1994,31.2,29.3,37.9,77.3,515.5,115.1,15,17.7,84.8,9.68,12.4,78,3.69,5.13,71.9,0.1,0.13,-0.04,1.47,2.24,1.86,0.22,3.91,Matches
2712,Adrien Truffert\5d0e0a1f,fr FRA,DF,Rennes,fr Ligue 1,19,2001,18.2,52.6,64.1,82.1,891.5,268.5,25.9,28.5,90.9,21.7,26,83.3,4.12,6.7,61.5,0.11,0.12,-0.01,0.82,3.19,1.26,0.6,4.07,Matches
2713,Philipp Tschauner\73e2f6eb,de GER,GK,RB Leipzig,de Bundesliga,35,1985,0,3,5,60,67,50,1,1,100,1,1,100,1,3,33.3,0,0,0,0,0,0,0,0,Matches
2714,Kostas Tsimikas\f315ca93,gr GRE,DF,Liverpool,eng Premier League,25,1996,9.7,52.8,72,73.4,958.6,329.9,23.3,26.1,89.3,23.1,28.7,80.6,5.88,13.5,43.5,0.21,0.27,-0.06,2.68,2.58,1.44,0.93,4.64,Matches
2715,Axel Tuanzebe\2baec6ce,eng ENG,DF,Aston Villa,eng Premier League,23,1997,5.6,35.2,40.5,86.8,765.5,199.3,8.93,9.82,90.9,18.6,20.5,90.4,6.96,9.46,73.6,0,0,0,0,0.54,0,0,1.07,Matches
2716,Axel Tuanzebe\2baec6ce,eng ENG,DF,Napoli,it Serie A,23,1997,0.1,40,40,100,820,490,10,10,100,20,20,100,10,10,100,0,0,0,0,0,0,0,10,Matches
2717,Ozan Tufan\17d45fb2,tr TUR,MF,Watford,eng Premier League,26,1995,3.7,23,33,69.7,422.7,114.9,10.8,13,83.3,9.46,11.9,79.5,2.43,5.68,42.9,0,0.05,-0.05,1.08,3.51,0.27,0,2.97,Matches
2718,Beñat Turrientes\068f4dec,es ESP,MF,Real Sociedad,es La Liga,19,2002,2.3,35.2,40.9,86.2,635.2,110.4,18.7,20,93.5,10.4,13.5,77.4,5.65,6.52,86.7,0,0.09,-0.09,1.3,2.17,0.43,0,1.3,Matches
2719,Tuta\35d64857,br BRA,DF,Eint Frankfurt,de Bundesliga,22,1999,24.3,44.8,55.6,80.5,998.5,326.5,11.9,13.5,88.7,24.1,27,89.2,8.44,13.8,61,0,0,0,0.12,3.09,0.12,0.08,2.84,Matches
2720,Christos Tzolis\9f333379,gr GRE,FWMF,Norwich City,eng Premier League,19,2002,3.7,20.3,27.6,73.5,346.8,87.8,10.5,12.7,83,7.03,8.38,83.9,2.16,4.32,50,0,0.27,-0.27,2.16,0.81,0.54,0.27,1.89,Matches
2721,Iyenoma Udogie\7cd520e8,it ITA,DF,Udinese,it Serie A,18,2002,27.5,26.6,33.1,80.2,388.4,146.8,14.5,16.8,86.6,10.1,12.3,82.2,0.8,1.31,61.1,0.11,0.08,0.03,0.91,1.56,0.8,0.15,2.55,Matches
2722,Matthieu Udol\cc41f558,fr FRA,DF,Metz,fr Ligue 1,25,1996,11.2,33.9,43.9,77.2,630.2,248.9,14.6,16.3,89.6,15,17.5,85.7,4.11,8.21,50,0,0.04,-0.04,0.45,1.52,0.09,0.09,2.5,Matches
2723,Ike Ugbo\8a53d24b,ca CAN,FW,Troyes,fr Ligue 1,22,1998,9,12.1,14.9,81.3,154.7,20.9,9.11,9.67,94.3,1.89,3.11,60.7,0.56,0.67,83.3,0,0.04,-0.04,0.44,0.89,0.33,0,0.78,Matches
2724,Chimuanya Ugochukwu\1df4a109,fr FRA,MF,Rennes,fr Ligue 1,17,2004,4.5,44,50,88,848.4,132,15.8,16.9,93.4,22,24.2,90.8,5.56,7.56,73.5,0,0.02,-0.02,0.44,1.78,0.22,0,2,Matches
2725,Hwang Ui-jo\a2d873dd,kr KOR,FW,Bordeaux,fr Ligue 1,28,1992,27.9,11.6,14.9,77.7,182.9,23.8,6.24,7.38,84.5,4.27,4.95,86.2,0.79,1.76,44.9,0.07,0.05,0.03,0.39,0.22,0.39,0.18,0.61,Matches
2726,Anthony Ujah\99be8fb5,ng NGA,FWMF,Union Berlin,de Bundesliga,30,1990,0.4,12.5,22.5,55.6,177.5,0,10,12.5,80,2.5,5,50,0,0,,0,0,0,0,0,0,0,0,Matches
2727,Maximilian Ullmann\caaf2ed1,at AUT,DF,Venezia,it Serie A,25,1996,2.7,16.7,24.1,69.2,289.3,146.3,9.26,10.7,86.2,5.56,7.41,75,1.85,5.19,35.7,0,0,0,0,1.11,0.74,0,2.59,Matches
2728,Sven Ulreich\7d3e7da6,de GER,GK,Bayern Munich,de Bundesliga,32,1988,6,33.3,39.3,84.7,748.3,426.5,10.3,10.5,98.4,14.3,14.7,97.7,8.17,13.7,59.8,0,0,0,0,0,0,0,0,Matches
2729,Samuel Umtiti\3eed9821,fr FRA,DF,Barcelona,es La Liga,27,1993,1,42,50,84,898,324,14,15,93.3,22,25,88,6,9,66.7,0,0,0,0,5,0,0,5,Matches
2730,Enes Ünal\f8eca1b6,tr TUR,FW,Getafe,es La Liga,24,1997,31.1,13.5,21.2,63.8,189.3,39.4,8.01,11.2,71.6,4.02,6.33,63.5,0.68,1.41,47.7,0.03,0.06,-0.03,0.84,0.96,0.26,0.1,1.32,Matches
2731,Cengiz Ünder\1880614f,tr TUR,FWMF,Marseille,fr Ligue 1,24,1997,24.4,29.2,39.2,74.4,523.5,140.9,14.6,17,86,10,13,77.3,3.85,7.21,53.4,0.08,0.18,-0.09,1.39,1.23,1.76,0.41,3.36,Matches
2732,Dayot Upamecano\d248cd8f,fr FRA,DF,Bayern Munich,de Bundesliga,22,1998,24.6,83.3,92,90.5,1868.2,565.3,20.6,22,93.5,45.6,48.9,93.3,16.5,19.9,83.1,0.24,0.06,0.19,0.41,7.48,0.45,0,5.81,Matches
2733,Benjamin Uphoff\a9a6fc08,de GER,GK,Freiburg,de Bundesliga,27,1993,2,31.5,45,70,1172.5,881.5,2,2,100,14.5,14.5,100,15,28.5,52.6,0,0,0,0,2.5,0,0,0.5,Matches
2734,Kacper Urbanski\2d9d9e42,pl POL,MF,Bologna,it Serie A,16,2004,0.5,40,52,76.9,632,132,20,22,90.9,12,18,66.7,4,6,66.7,0,0,0,0,2,0,0,2,Matches
2735,Jere Uronen\d75f3980,fi FIN,DF,Brest,fr Ligue 1,27,1994,9.8,37.3,46,81.2,682.4,256.3,16.2,18,90.3,16.6,19.6,84.9,3.88,6.63,58.5,0,0.01,-0.01,0.31,2.65,1.02,0.31,3.27,Matches
2736,Mark Uth\a3ddb1b9,de GER,MFFW,Köln,de Bundesliga,29,1991,22.5,22.7,33.2,68.2,473.6,135.2,9.42,12.4,76,7.96,10.4,76.5,5.02,8.53,58.9,0.36,0.24,0.12,1.96,2.58,1.2,0.53,3.02,Matches
2737,Myrto Uzuni\01da7812,al ALB,MFFW,Granada,es La Liga,26,1995,9.5,15.5,22.5,68.7,233.5,69.7,8.95,11.3,79.4,4.53,6.74,67.2,1.26,2.53,50,0.11,0.11,0,0.74,0.53,0.21,0.11,1.16,Matches
2738,Antonio Vacca\444c89d9,it ITA,MF,Venezia,it Serie A,31,1990,11.8,50.6,58.5,86.5,1076.8,306.4,15.1,16.9,89.4,24.8,27.1,91.6,9.92,12.9,77,0,0.03,-0.03,0.34,4.15,0.68,0,3.73,Matches
2739,Álvaro Vadillo\61b62b33,es ESP,MFDF,Espanyol,es La Liga,26,1994,0.1,70,110,63.6,1170,100,30,40,75,10,10,100,10,30,33.3,0,0,0,0,10,0,0,0,Matches
2740,Óscar Valentín\592f3158,es ESP,MF,Rayo Vallecano,es La Liga,26,1994,28.5,38.7,45.9,84.5,778.4,210,14.6,16.1,90.8,17.4,19.5,89.5,6.25,9.05,69,0,0.04,-0.04,0.49,4.53,0.46,0.04,4.21,Matches
2741,Germán Valera\84f55b4a,es ESP,FWMF,Real Sociedad,es La Liga,19,2002,0.6,23.3,28.3,82.4,348.3,60,15,15,100,5,8.33,60,3.33,5,66.7,0,0,0,0,0,0,0,1.67,Matches
2742,Yan Valery\531a4aa8,fr FRA,DF,Southampton,eng Premier League,22,1999,4.1,26.3,37.8,69.7,463.2,144.4,11.2,14.1,79.3,12.2,15.6,78.1,1.95,5.85,33.3,0,0.02,-0.02,0.24,2.44,0.24,0.24,1.95,Matches
