,,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
57,Thiago Alcántara\77e84962,es ESP,MF,Liverpool,eng Premier League,30,1991,17,3.41,2.35,1,1.82,0.59,0.71,2.35,30,1.65,18.8,6.88,36.7,5.06,9.59,4.12,1.53,0.12,0,1.41,2.06,5.47,1.06,0.12,Matches
58,Rubén Alcaraz\036bba5f,es ESP,MF,Cádiz,es La Liga,30,1991,12.3,3.5,2.44,1.38,2.03,0.08,1.14,2.76,41.2,1.63,24.5,8.37,34.2,8.94,12.9,2.6,1.22,0.16,0,1.06,1.22,4.72,1.22,0,Matches
59,Omar Alderete\bb08bce9,py PAR,DF,Valencia,es La Liga,24,1996,26.7,2.43,1.69,1.54,0.86,0.04,1.12,1.99,56.6,0.86,9.25,3.45,37.2,5.36,3.52,0.37,1.35,0.67,0,0.67,2.62,5.06,6.93,0,Matches
60,Iván Alejo\3d7e48ce,es ESP,MFFW,Cádiz,es La Liga,26,1995,11.8,2.8,1.69,1.86,0.68,0.25,1.27,3.22,39.5,1.95,28.9,7.29,25.2,10.8,11.7,6.44,1.27,0,0,1.27,1.36,4.15,1.02,0,Matches
61,Doğan Alemdar\9e17ccff,tr TUR,GK,Rennes,fr Ligue 1,18,2002,12,0,0,0,0,0,0,0,,0,0.08,0.08,100,0.08,0,0,0,0,0,0,0,0,0,0.08,Matches
62,Carles Aleñá\6c811eb7,es ESP,MF,Getafe,es La Liga,23,1998,25.8,1.32,0.85,0.62,0.5,0.19,0.62,1.86,33.3,1.24,21.4,4.96,23.2,4.53,12.1,4.77,1.05,0.08,0,0.97,0.74,2.05,0.39,0,Matches
63,Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,Liverpool,eng Premier League,22,1998,31.7,1.39,0.76,0.69,0.47,0.22,0.73,1.86,39,1.14,9.09,3.06,33.7,3.6,2.78,2.71,1.23,0.16,0.03,1.07,2.4,3.79,1.36,0.03,Matches
64,Mircea Alexandru Tirlea\683a1d81,ro ROU,DF,Alavés,es La Liga,21,2000,0.2,0,0,0,0,0,0,0,,0,20,10,50,0,10,10,5,0,0,5,5,5,5,0,Matches
65,Mohamed Ali Cho\f8405304,fr FRA,FW,Angers,fr Ligue 1,17,2004,20.4,0.49,0.34,0.1,0.2,0.2,0.05,0.64,7.7,0.59,23.3,5.2,22.3,1.57,10.7,11.1,0.93,0.05,0,0.88,0.64,1.13,0.05,0,Matches
66,Alisson\7a2e46a8,br BRA,GK,Liverpool,eng Premier League,28,1992,36,0,0,0,0,0,0,0.06,0,0.06,0.17,0.08,50,0.17,0,0,0.03,0,0,0.03,0,0,0.03,0.06,Matches
67,Allan\cc700722,br BRA,MF,Everton,eng Premier League,30,1991,24.3,3.17,2.51,1.28,1.69,0.21,1.07,3.62,29.5,2.55,26.7,8.4,31.5,10.7,13.5,2.51,1.89,0.37,0,1.52,1.73,4.9,1.65,0,Matches
68,Jim Allevinah\1956b948,ga GAB,FW,Clermont Foot,fr Ligue 1,26,1995,16.5,1.45,0.91,0.42,0.67,0.36,0.42,1.03,41.2,0.61,12.7,3.39,26.8,3.09,5.52,4.06,0.79,0.12,0,0.67,0.61,2.06,0.18,0,Matches
69,Dele Alli\cea4ee8f,eng ENG,MFFW,Tottenham,eng Premier League,25,1996,7.3,2.6,0.96,1.51,0.82,0.27,0.68,2.33,29.4,1.64,28.6,7.53,26.3,11.1,12.6,4.93,3.42,0.68,0,2.74,2.33,4.93,1.64,0,Matches
70,Dele Alli\cea4ee8f,eng ENG,MF,Everton,eng Premier League,25,1996,3.8,3.95,2.63,1.58,1.58,0.79,1.32,3.16,41.7,1.84,33.4,8.95,26.8,9.21,16.3,7.89,2.37,0.53,0,1.84,2.63,6.58,1.84,0,Matches
71,Miguel Almirón\862a1c15,py PAR,MFFW,Newcastle Utd,eng Premier League,27,1994,19.1,2.98,1.73,1.41,1.15,0.42,0.68,2.46,27.7,1.78,22.6,5.71,25.2,6.65,8.69,7.28,1.15,0.05,0.05,1.1,1.31,4.29,0.63,0,Matches
72,Marcos Alonso\f4290206,es ESP,DF,Chelsea,eng Premier League,30,1990,24.1,1.87,1.16,0.87,0.54,0.46,0.58,1.33,43.8,0.75,12.4,3.53,28.3,5.02,4.19,3.24,1.62,0.25,0,1.37,2.74,4.61,2.28,0,Matches
73,Giorgio Altare\aa5322d5,it ITA,DF,Cagliari,it Serie A,22,1998,16.3,2.58,1.72,1.04,1.23,0.31,0.92,1.6,57.7,0.67,10.2,3.87,38,3.74,5.46,0.98,1.6,0.43,0,1.17,2.7,5.28,4.6,0,Matches
74,Hugo Álvarez\6f392eb8,es ESP,FW,Celta Vigo,es La Liga,36,1985,0.1,0,0,0,0,0,0,0,,0,30,10,33.3,20,10,0,10,0,0,10,0,0,10,0,Matches
75,Yeray Álvarez\3ecc11d8,es ESP,DF,Athletic Club,es La Liga,26,1995,20.7,1.64,0.92,0.87,0.77,0,0.34,0.68,50,0.34,6.62,2.9,43.8,3.09,3.19,0.34,1.35,0.87,0.05,0.48,2.61,4.25,4.98,0,Matches
76,Dani Alves\c9e99e49,br BRA,DF,Barcelona,es La Liga,38,1983,12.2,2.87,1.56,1.31,1.23,0.33,1.15,2.38,48.3,1.23,13.6,3.61,26.5,5.16,6.23,2.21,1.48,0.25,0,1.23,1.89,4.75,0.66,0,Matches
77,Steven Alzate\ad1f61f3,co COL,MF,Brighton,eng Premier League,22,1998,4.5,2,1.78,0.67,1.11,0.22,0.67,1.11,60,0.44,17.6,4.44,25.3,6.67,8.22,2.67,1.11,0.22,0,0.89,3.11,5.11,2.22,0,Matches
