,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
2575,Stefan Strandberg\6d5e62b0,no NOR,DF,Salernitana,it Serie A,31,1990,10.4,0,0.87,0.19,22.2,0.87,0.19,0,0,13.6,0.1,0,0,0.04,0.04,0.04,-0.04,-0.04,Matches
2576,Dávid Strelec\2cb9486d,sk SVK,FWMF,Spezia,it Serie A,20,2001,5.6,0.18,0.89,0.71,80,0.9,0.72,0.2,0.25,15.9,0,0,0,0.07,0.07,0.08,0.11,0.11,Matches
2577,Tobias Strobl\17780d2b,de GER,MFDF,Augsburg,de Bundesliga,31,1990,3.6,0,0.56,0.28,50,0.56,0.28,0,0,17,0,0,0,0.03,0.03,0.05,-0.03,-0.03,Matches
2578,Kevin Strootman\ef2e5e1a,nl NED,MF,Cagliari,it Serie A,31,1990,7.1,0,0.14,0,0,0.14,0,0,,15.2,0,0,0,0,0,0.02,0,0,Matches
2579,Pascal Struijk\f4d296e4,nl NED,DF,Leeds United,eng Premier League,21,1999,22.8,0.04,0.48,0.13,27.3,0.48,0.13,0.09,0.33,7.8,0,0,0,0.06,0.06,0.12,-0.01,-0.01,Matches
2580,Jens Stryger Larsen\f91e81c9,dk DEN,DF,Udinese,it Serie A,30,1991,7.6,0,1.18,0.53,44.4,1.18,0.53,0,0,17.3,0,0,0,0.09,0.09,0.08,-0.09,-0.09,Matches
2581,Leo Štulac\92948398,si SVN,MF,Empoli,it Serie A,26,1994,9.3,0.22,0.97,0.32,33.3,0.97,0.32,0.22,0.67,24.6,0.22,0,0,0.03,0.03,0.04,0.18,0.18,Matches
2582,Stefano Sturaro\2334478a,it ITA,MF,Genoa,it Serie A,28,1993,19.6,0,0.46,0,0,0.46,0,0,,18.9,0,0,0,0.03,0.03,0.05,-0.03,-0.03,Matches
2583,Damián Suárez\ba5004e1,uy URU,DF,Getafe,es La Liga,33,1988,30.1,0,0.47,0.13,28.6,0.46,0.13,0,0,30.3,0.07,0,0,0.02,0.02,0.04,-0.02,-0.02,Matches
2584,Denis Suárez\12c50af5,es ESP,MF,Celta Vigo,es La Liga,27,1994,31.3,0.13,0.67,0.26,38.1,0.67,0.26,0.19,0.5,20.7,0.03,0,0,0.06,0.06,0.09,0.07,0.07,Matches
2585,Luis Suárez\a6154613,uy URU,FW,Atlético Madrid,es La Liga,34,1987,20.4,0.54,2.5,1.13,45.1,2.5,1.13,0.18,0.39,20,0.1,0.1,0.15,0.44,0.33,0.13,0.1,0.11,Matches
2586,Mario Suárez\7106f0a0,es ESP,DF,Rayo Vallecano,es La Liga,34,1987,7.9,0,1.14,0.38,33.3,1.14,0.38,0,0,12.7,0,0,0,0.11,0.11,0.1,-0.11,-0.11,Matches
2587,Isaac Success\f573a8bf,ng NGA,FW,Udinese,it Serie A,25,1996,10.1,0.2,2.48,1.29,52,2.47,1.28,0.08,0.15,16.5,0,0,0,0.25,0.25,0.1,-0.05,-0.05,Matches
2588,Niklas Süle\e33c06cf,de GER,DF,Bayern Munich,de Bundesliga,25,1995,20.4,0.05,0.78,0.29,37.5,0.78,0.29,0.06,0.17,17.6,0,0,0,0.07,0.07,0.09,-0.02,-0.02,Matches
2589,Kamaldeen Sulemana\a62f8bf1,gh GHA,MFFW,Rennes,fr Ligue 1,19,2002,11.3,0.35,2.3,0.71,30.8,2.31,0.71,0.15,0.5,20,0,0,0,0.22,0.22,0.09,0.13,0.13,Matches
2590,Crysencio Summerville\df04eb4b,nl NED,MFFW,Leeds United,eng Premier League,19,2001,1.4,0,1.43,0,0,1.38,0,0,,11.9,0,0,0,0.21,0.21,0.13,-0.21,-0.21,Matches
2591,Vladyslav Supriaha\73affbb6,ua UKR,FW,Sampdoria,it Serie A,21,2000,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
2592,Suso\4e219ad2,es ESP,FW,Sevilla,es La Liga,27,1993,4.3,0,1.4,0.47,33.3,1.41,0.47,0,0,22.3,0,0,0,0.05,0.05,0.04,-0.05,-0.05,Matches
2593,Bosko Sutalo\1d0bb7e4,hr CRO,DF,Hellas Verona,it Serie A,21,2000,10.2,0,0.49,0.1,20,0.49,0.1,0,0,16.8,0,0,0,0.03,0.03,0.05,-0.03,-0.03,Matches
2594,Mattias Svanberg\92d83c27,se SWE,MF,Bologna,it Serie A,22,1999,28.5,0.11,1.37,0.46,33.3,1.37,0.46,0.08,0.23,19.9,0.07,0,0,0.07,0.07,0.05,0.04,0.04,Matches
2595,Michael Svoboda\8abd174d,at AUT,DF,Venezia,it Serie A,22,1998,13.7,0,0.58,0,0,0.58,0,0,,6.1,0,0,0,0.07,0.07,0.12,-0.07,-0.07,Matches
2596,Abdoulaye Sylla\2aeb43f1,gn GUI,DF,Nantes,fr Ligue 1,21,2000,1.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
2597,Mamadou Sylla\e5ec95f8,sn SEN,FW,Alavés,es La Liga,27,1994,4.4,0,0.45,0,0,0.46,0,0,,8.4,0,0,0,0.05,0.05,0.1,-0.05,-0.05,Matches
2598,Mamadou Sylla\e5ec95f8,sn SEN,FWMF,Rayo Vallecano,es La Liga,27,1994,2.8,0,3.93,0.36,9.1,3.91,0.36,0,0,10.2,0.36,0,0,0.61,0.61,0.15,-0.61,-0.61,Matches
2599,Ádám Szalai\53e07d0b,hu HUN,FW,Mainz 05,de Bundesliga,33,1987,2.9,0.34,3.1,1.03,33.3,3.12,1.04,0.11,0.33,13.5,0,0,0,0.34,0.34,0.11,0,0,Matches
2600,Wojciech Szczęsny\01b8a2b2,pl POL,GK,Juventus,it Serie A,31,1990,33,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
2601,Dominik Szoboszlai\934e1968,hu HUN,MFFW,RB Leipzig,de Bundesliga,20,2000,17.1,0.35,2.34,0.82,35,2.33,0.82,0.15,0.43,21.8,0.41,0,0.06,0.28,0.24,0.1,0.07,0.11,Matches
2602,Jakob Sørensen\953c30b0,dk DEN,MFDF,Norwich City,eng Premier League,23,1998,6.7,0,0.75,0.15,20,0.75,0.15,0,0,14.4,0,0,0,0.06,0.06,0.08,-0.06,-0.06,Matches
2603,Alexander Sørloth\e92cd3f7,no NOR,FW,Real Sociedad,es La Liga,25,1995,19.6,0.2,1.89,0.61,32.4,1.89,0.61,0.11,0.33,11.6,0,0,0,0.33,0.33,0.18,-0.13,-0.13,Matches
2604,Tachi\8b625720,es ESP,DF,Alavés,es La Liga,23,1997,2.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
2605,Jonathan Tah\bd142efb,de GER,DF,Leverkusen,de Bundesliga,25,1996,32,0.06,0.47,0.09,20,0.47,0.09,0.13,0.67,10.5,0,0,0,0.03,0.03,0.08,0.03,0.03,Matches
2606,Waniss Taibi\95192fe4,fr FRA,MFDF,Angers,fr Ligue 1,19,2002,1.5,0,0.67,0,0,0.68,0,0,,13.9,0,0,0,0.07,0.07,0.06,-0.07,-0.07,Matches
2607,Flavien Tait\a0f9b535,fr FRA,MF,Rennes,fr Ligue 1,28,1993,23.6,0.21,1.82,0.51,27.9,1.82,0.51,0.12,0.42,19.8,0,0,0,0.14,0.14,0.07,0.08,0.08,Matches
2608,Adrien Tameze\8da74c05,cm CMR,MFDF,Hellas Verona,it Serie A,27,1994,28.6,0.14,0.8,0.24,30.4,0.8,0.24,0.17,0.57,20.6,0,0,0,0.05,0.05,0.06,0.09,0.09,Matches
2609,Japhet Tanganga\e9971f2d,eng ENG,DF,Tottenham,eng Premier League,22,1999,8.2,0,0.85,0.24,28.6,0.86,0.24,0,0,13.1,0,0,0,0.05,0.05,0.05,-0.05,-0.05,Matches
2610,Renato Tapia\34269bdf,pe PER,MF,Celta Vigo,es La Liga,26,1995,15.7,0,0.76,0.19,25,0.76,0.19,0,0,24.3,0,0,0,0.03,0.03,0.04,-0.03,-0.03,Matches
2611,Edmond Tapsoba\a73c8f95,bf BFA,DF,Leverkusen,de Bundesliga,22,1999,20.2,0.05,0.35,0.05,14.3,0.35,0.05,0.14,1,9.1,0,0,0,0.02,0.02,0.06,0.03,0.03,Matches
2612,Florian Tardieu\ed39121c,fr FRA,MF,Troyes,fr Ligue 1,29,1992,29.2,0.14,0.68,0.17,25,0.68,0.17,0,0,29.9,0.14,0.14,0.14,0.13,0.03,0.04,0.01,-0.03,Matches
2613,Matt Targett\e514ab62,eng ENG,DF,Aston Villa,eng Premier League,25,1995,15.9,0.06,0.44,0.13,28.6,0.44,0.13,0.14,0.5,13.4,0,0,0,0.03,0.03,0.07,0.03,0.03,Matches
2614,Matt Targett\e514ab62,eng ENG,DF,Newcastle Utd,eng Premier League,25,1995,16,0,0.38,0.19,50,0.37,0.19,0,0,16.4,0,0,0,0.02,0.02,0.05,-0.02,-0.02,Matches
2615,Oussama Targhalline\abd56820,ma MAR,FW,Marseille,fr Ligue 1,19,2002,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
2616,James Tarkowski\15ea812b,eng ENG,DF,Burnley,eng Premier League,28,1992,34.5,0.03,0.67,0.17,26.1,0.67,0.17,0.04,0.17,10.6,0,0,0,0.06,0.06,0.09,-0.03,-0.03,Matches
2617,Ciprian Tătărușanu\b056e3da,ro ROU,GK,Milan,it Serie A,35,1986,6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
2618,Niklas Tauer\27270af4,de GER,DFMF,Mainz 05,de Bundesliga,20,2001,5.4,0,0.37,0.37,100,0.37,0.37,0,0,19.4,0,0,0,0.04,0.04,0.12,-0.04,-0.04,Matches
2619,Nuno Tavares\a65c844b,pt POR,DF,Arsenal,eng Premier League,21,2000,13.1,0.08,1.76,0.15,8.7,1.76,0.15,0.04,0.5,19.8,0,0,0,0.11,0.11,0.06,-0.04,-0.04,Matches
2620,Charlie Taylor\cc2d7ad5,eng ENG,DF,Burnley,eng Premier League,27,1993,30.3,0,0.23,0,0,0.23,0,0,,21.6,0,0,0,0.01,0.01,0.03,-0.01,-0.01,Matches
2621,Loum Tchaouna\a3c8b4d3,fr FRA,FWMF,Rennes,fr Ligue 1,17,2003,1,0,2,1,50,2.07,1.03,0,0,16.8,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches
2622,Warren Tchimbembé\93b8f9f4,cg CGO,MF,Metz,fr Ligue 1,23,1998,2.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
2623,Aurélien Tchouaméni\4f255115,fr FRA,MF,Monaco,fr Ligue 1,21,2000,32.5,0.09,1.72,0.31,17.9,1.72,0.31,0.05,0.3,21.3,0,0,0,0.07,0.07,0.04,0.02,0.02,Matches
2624,Mathys Tel\829aa60c,fr FRA,FWMF,Rennes,fr Ligue 1,16,2005,0.6,0,5,1.67,33.3,4.82,1.61,0,0,16.3,1.67,0,0,0.67,0.67,0.12,-0.67,-0.67,Matches
2625,Jordan Tell\4f093689,fr FRA,FW,Clermont Foot,fr Ligue 1,24,1997,3.2,0.31,2.19,0.94,42.9,2.17,0.93,0.14,0.33,11.8,0,0,0,0.31,0.31,0.14,0,0,Matches
2626,Nathan Tella\f1e94cd6,eng ENG,MFFW,Southampton,eng Premier League,22,1999,8.9,0,1.35,0.56,41.7,1.34,0.56,0,0,20.9,0,0,0,0.06,0.06,0.04,-0.06,-0.06,Matches
2627,Alex Telles\e73c9bb2,br BRA,DF,Manchester Utd,eng Premier League,28,1992,18.4,0,0.54,0.16,30,0.54,0.16,0,0,23,0.22,0,0,0.03,0.03,0.05,-0.03,-0.03,Matches
2628,Cristian Tello\72a99e38,es ESP,FWMF,Betis,es La Liga,29,1991,9.1,0.22,3.19,0.99,31,3.19,0.99,0.07,0.22,20.3,0.22,0,0,0.19,0.19,0.06,0.03,0.03,Matches
2629,Nahuel Tenaglia\66654daa,ar ARG,DF,Alavés,es La Liga,25,1996,11.9,0,0.5,0.08,16.7,0.5,0.08,0,0,19,0,0,0,0.03,0.03,0.04,-0.03,-0.03,Matches
2630,Marc Tenas\1c5d79e2,es ESP,FWMF,Alavés,es La Liga,20,2001,0.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
2631,Marc-André ter Stegen\6f51e382,de GER,GK,Barcelona,es La Liga,29,1992,35,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
2632,Filippo Terracciano\5cbb5ad6,it ITA,DF,Hellas Verona,it Serie A,18,2003,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
2633,Pietro Terracciano\e1b0a70d,it ITA,GK,Fiorentina,it Serie A,31,1990,31.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
2634,Martin Terrier\5148dcc5,fr FRA,FWMF,Rennes,fr Ligue 1,24,1997,30.9,0.68,2.75,1.39,50.6,2.75,1.39,0.22,0.44,14.6,0,0.06,0.06,0.44,0.39,0.14,0.24,0.22,Matches
2635,Aleksa Terzić\3ef0a2d7,rs SRB,DF,Fiorentina,it Serie A,21,1999,3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
2636,Robert Tesche\037130ca,de GER,MF,Bochum,de Bundesliga,34,1987,3.9,0,0.51,0,0,0.52,0,0,,15,0,0,0,0.03,0.03,0.04,-0.03,-0.03,Matches
2637,Tanner Tessmann\ac277993,us USA,MF,Venezia,it Serie A,19,2001,7.6,0,1.05,0.39,37.5,1.06,0.4,0,0,15.8,0,0,0,0.11,0.11,0.1,-0.11,-0.11,Matches
2638,Tetê\7120a04d,br BRA,FWMF,Lyon,fr Ligue 1,21,2000,6.5,0.31,2.62,1.08,41.2,2.62,1.08,0.12,0.29,15.6,0,0,0,0.37,0.37,0.14,-0.06,-0.06,Matches
2639,Cedric Teuchert\f956479d,de GER,MFFW,Union Berlin,de Bundesliga,24,1997,1.2,0,2.5,0.83,33.3,2.57,0.86,0,0,14.7,0,0,0,0.17,0.17,0.07,-0.17,-0.17,Matches
2640,Arthur Theate\df8d6029,be BEL,DF,Bologna,it Serie A,21,2000,26.9,0.07,0.78,0.22,28.6,0.78,0.22,0.1,0.33,16.6,0,0,0,0.06,0.06,0.07,0.02,0.02,Matches
2641,Jan Thielmann\fd53759d,de GER,MFFW,Köln,de Bundesliga,19,2002,13.2,0.23,1.14,0.45,40,1.13,0.45,0.2,0.5,22.3,0,0,0,0.11,0.11,0.09,0.12,0.12,Matches
2642,Sada Thioub\f4bc42b1,sn SEN,MF,Angers,fr Ligue 1,26,1995,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
2643,Sada Thioub\f4bc42b1,sn SEN,DF,Saint-Étienne,fr Ligue 1,26,1995,10.6,0,0.47,0,0,0.47,0,0,,18.5,0,0,0,0.02,0.02,0.04,-0.02,-0.02,Matches
2644,Luke Thomas\fc027d02,eng ENG,DF,Leicester City,eng Premier League,20,2001,21.2,0,0.19,0,0,0.19,0,0,,18.6,0,0,0,0.01,0.01,0.05,-0.01,-0.01,Matches
2645,Romain Thomas\275e2c51,fr FRA,DF,Angers,fr Ligue 1,33,1988,28.5,0.07,0.46,0.14,30.8,0.46,0.14,0.15,0.5,7.3,0,0,0,0.07,0.07,0.15,0,0,Matches
2646,Adrien Thomasson\c76b7567,fr FRA,MF,Strasbourg,fr Ligue 1,27,1993,26.5,0.3,1.81,0.72,39.6,1.81,0.72,0.17,0.42,15.5,0,0,0,0.25,0.25,0.14,0.06,0.06,Matches
2647,Erik Thommy\df8e7b62,de GER,DFFW,Stuttgart,de Bundesliga,26,1994,3,0,3.33,1.33,40,3.28,1.31,0,0,22.9,0,0,0,0.13,0.13,0.04,-0.13,-0.13,Matches
2648,Dominic Thompson\235a62f8,eng ENG,DF,Brentford,eng Premier League,21,2000,1.6,0,0.63,0,0,0.62,0,0,,18,0,0,0,0,0,0.02,0,0,Matches
2649,Morten Thorsby\d1b49282,no NOR,MF,Sampdoria,it Serie A,25,1996,32.7,0.09,0.8,0.21,26.9,0.8,0.21,0.12,0.43,12.5,0,0,0,0.1,0.1,0.13,-0.01,-0.01,Matches
2650,Thuler\db23d9fc,br BRA,DF,Montpellier,fr Ligue 1,22,1999,9.5,0,0.11,0,0,0.11,0,0,,6,0,0,0,0.01,0.01,0.14,-0.01,-0.01,Matches
2651,Marcus Thuram\6f8cd6d0,fr FRA,FWMF,M'Gladbach,de Bundesliga,23,1997,10.9,0.28,3.03,0.92,30.3,3.03,0.92,0.09,0.3,12.8,0,0,0,0.5,0.5,0.17,-0.22,-0.22,Matches
2652,Khéphren Thuram-Ulie\7d9397f8,fr FRA,MF,Nice,fr Ligue 1,20,2001,21.1,0.19,1.09,0.28,26.1,1.09,0.28,0.17,0.67,15.6,0,0,0,0.14,0.14,0.14,0.05,0.05,Matches
2653,Alexis Tibidi\ca6f4846,fr FRA,FWMF,Stuttgart,de Bundesliga,17,2003,4.3,0,0.93,0.23,25,0.94,0.23,0,0,12.9,0,0,0,0.07,0.07,0.08,-0.07,-0.07,Matches
2654,Cheikh Tidiane Sabaly\9ddf7fae,sn SEN,FWMF,Metz,fr Ligue 1,22,1999,1.7,0,1.18,0.59,50,1.2,0.6,0,0,18.4,0,0,0,0.06,0.06,0.05,-0.06,-0.06,Matches
2655,Youri Tielemans\56f7a928,be BEL,MF,Leicester City,eng Premier League,24,1997,29.2,0.21,1.95,0.51,26.3,1.95,0.51,0.07,0.27,24.4,0,0.07,0.07,0.16,0.11,0.06,0.05,0.03,Matches
2656,Kieran Tierney\fce2302c,sct SCO,DF,Arsenal,eng Premier League,24,1997,21.3,0.05,0.7,0.23,33.3,0.7,0.23,0.07,0.2,21.2,0,0,0,0.03,0.03,0.05,0.01,0.01,Matches
2657,Steffen Tigges\6b8887c2,de GER,FWMF,Dortmund,de Bundesliga,23,1998,1.2,2.5,3.33,2.5,75,3.21,2.41,0.75,1,8.2,0,0,0,0.83,0.83,0.25,1.67,1.67,Matches
2658,Malik Tillman\a5420709,us USA,FWMF,Bayern Munich,de Bundesliga,19,2002,1.2,0,0.83,0.83,100,0.87,0.87,0,0,13.6,0,0,0,0.17,0.17,0.21,-0.17,-0.17,Matches
2659,Timothy Tillman\a5bea1fb,de GER,MF,Greuther Fürth,de Bundesliga,22,1999,22.3,0.04,1.03,0.36,34.8,1.03,0.36,0.04,0.13,18.6,0.09,0,0,0.07,0.07,0.07,-0.03,-0.03,Matches
2660,David Timor\174651c8,es ESP,MF,Getafe,es La Liga,31,1989,3.8,0,2.11,0,0,2.11,0,0,,29.7,0.53,0,0,0.05,0.05,0.03,-0.05,-0.05,Matches
2661,Jean-Clair Todibo\88f130ed,fr FRA,DF,Nice,fr Ligue 1,21,1999,34.6,0.03,0.58,0.17,30,0.58,0.17,0.05,0.17,9.1,0,0,0,0.07,0.07,0.13,-0.04,-0.04,Matches
2662,Umut Tohumcu\e547d3cf,de GER,MF,Hoffenheim,de Bundesliga,16,2004,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
2663,Karl Toko Ekambi\5ceba7fc,cm CMR,FW,Lyon,fr Ligue 1,28,1992,25.5,0.47,2.9,1.41,48.6,2.9,1.41,0.14,0.28,14.2,0,0.08,0.08,0.48,0.42,0.15,-0.01,-0.03,Matches
2664,Corentin Tolisso\652d4c37,fr FRA,MF,Bayern Munich,de Bundesliga,26,1994,7.8,0.26,2.31,0.38,16.7,2.3,0.38,0.11,0.67,18.1,0,0,0,0.17,0.17,0.07,0.09,0.09,Matches
2665,Jeremy Toljan\a96e5dc0,de GER,DF,Sassuolo,it Serie A,26,1994,15.5,0,0.19,0.06,33.3,0.19,0.06,0,0,22.1,0,0,0,0.01,0.01,0.02,-0.01,-0.01,Matches
2666,Rafael Tolói\c56dc39e,it ITA,DF,Atalanta,it Serie A,30,1990,16,0.06,0.69,0.13,18.2,0.69,0.13,0.09,0.5,11,0,0,0,0.08,0.08,0.12,-0.02,-0.02,Matches
2667,Raúl de Tomás\02ef8778,es ESP,FW,Espanyol,es La Liga,26,1994,32.4,0.52,3.12,1.23,39.6,3.12,1.24,0.12,0.3,18.2,0.28,0.15,0.15,0.45,0.33,0.11,0.07,0.04,Matches
2668,Tiago Tomás\b492126a,pt POR,FW,Stuttgart,de Bundesliga,19,2002,11.9,0.34,2.35,1.26,53.6,2.34,1.26,0.14,0.27,14.7,0,0,0,0.31,0.31,0.13,0.03,0.03,Matches
2669,Takehiro Tomiyasu\b3af9be1,jp JPN,DF,Arsenal,eng Premier League,22,1998,18.7,0,0.59,0.11,18.2,0.59,0.11,0,0,16.1,0,0,0,0.04,0.04,0.08,-0.04,-0.04,Matches
2670,Takehiro Tomiyasu\b3af9be1,jp JPN,DF,Bologna,it Serie A,22,1998,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
2671,James Tomkins\e7ca0439,eng ENG,DF,Crystal Palace,eng Premier League,32,1989,6.1,0.16,0.66,0.33,50,0.66,0.33,0.25,0.5,12,0,0,0,0.1,0.1,0.14,0.07,0.07,Matches
2672,Fikayo Tomori\7edfbb8a,eng ENG,DF,Milan,it Serie A,23,1997,30.2,0,0.36,0.07,18.2,0.36,0.07,0,0,9.8,0,0,0,0.07,0.07,0.2,-0.07,-0.07,Matches
2673,Sandro Tonali\0db169ae,it ITA,MF,Milan,it Serie A,21,2000,28.9,0.17,1.31,0.38,28.9,1.32,0.38,0.13,0.45,22.2,0.14,0,0,0.15,0.15,0.11,0.02,0.02,Matches
2674,Lorenzo Tonelli\8cc29864,it ITA,DF,Empoli,it Serie A,31,1990,9.7,0,0.72,0.31,42.9,0.72,0.31,0,0,11.3,0,0,0,0.04,0.04,0.06,-0.04,-0.04,Matches
2675,Ivan Toney\e09f279b,eng ENG,FW,Brentford,eng Premier League,25,1996,32.3,0.37,2.57,0.74,28.9,2.57,0.74,0.08,0.29,15.1,0,0.15,0.15,0.37,0.25,0.1,0,-0.04,Matches
2676,Ernesto Torregrossa\bf39bdec,it ITA,FW,Sampdoria,it Serie A,29,1992,1.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
2677,Lucas Torreira\52611641,uy URU,MF,Fiorentina,it Serie A,25,1996,24.4,0.2,1.19,0.53,44.8,1.19,0.53,0.17,0.38,13.6,0.08,0,0,0.19,0.18,0.17,0.02,0.02,Matches
2678,Raúl Torrente\4d753a3f,es ESP,DF,Granada,es La Liga,20,2001,14.2,0,0.28,0,0,0.28,0,0,,13,0,0,0,0.02,0.02,0.08,-0.02,-0.02,Matches
2679,Ferrán Torres\9e1035f8,es ESP,FW,Manchester City,eng Premier League,21,2000,3.4,0.59,3.82,1.18,30.8,3.86,1.19,0.15,0.5,14.1,0,0,0,0.74,0.74,0.19,-0.15,-0.15,Matches
2680,Ferrán Torres\9e1035f8,es ESP,FW,Barcelona,es La Liga,21,2000,15.7,0.25,3.31,1.15,34.6,3.31,1.15,0.06,0.17,15.6,0.19,0.06,0.06,0.46,0.41,0.12,-0.2,-0.22,Matches
2681,Óliver Torres\58a9a4d9,es ESP,MFFW,Sevilla,es La Liga,26,1994,11.2,0.18,1.25,0.45,35.7,1.25,0.45,0.14,0.4,17.6,0,0,0,0.08,0.08,0.07,0.1,0.1,Matches
2682,Pau Torres\532e1e4f,es ESP,DF,Villarreal,es La Liga,24,1997,31.7,0.16,0.79,0.28,36,0.79,0.28,0.2,0.56,7.1,0,0,0,0.1,0.1,0.13,0.06,0.06,Matches
2683,Roberto Torres\d733aa38,es ESP,MFFW,Osasuna,es La Liga,32,1989,9,0.22,1.44,0.33,23.1,1.45,0.33,0,0,24.3,0,0.22,0.22,0.22,0.04,0.03,0,-0.04,Matches
2684,Lucas Torró\0e4fef6e,es ESP,MF,Osasuna,es La Liga,27,1994,30.3,0.03,1.16,0.3,25.7,1.16,0.3,0.03,0.11,20.3,0,0,0,0.05,0.05,0.04,-0.02,-0.02,Matches
2685,Jordan Torunarigha\f86cabbd,de GER,DF,Hertha BSC,de Bundesliga,23,1997,5.4,0,0.37,0,0,0.37,0,0,,9,0,0,0,0.04,0.04,0.1,-0.04,-0.04,Matches
2686,Cenk Tosun\9a104dee,tr TUR,FW,Everton,eng Premier League,30,1991,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
2687,Abdoulaye Touré\ef7cd87a,fr FRA,MF,Genoa,it Serie A,27,1994,4.8,0,0.83,0,0,0.84,0,0,,20.5,0,0,0,0.04,0.04,0.04,-0.04,-0.04,Matches
2688,Almamy Touré\c8c60119,ml MLI,DF,Eint Frankfurt,de Bundesliga,25,1996,5.6,0,1.07,0.36,33.3,1.07,0.36,0,0,12.7,0,0,0,0.14,0.14,0.14,-0.14,-0.14,Matches
2689,Lucas Tousart\71ec39ef,fr FRA,MF,Hertha BSC,de Bundesliga,24,1997,21.8,0.09,1.1,0.32,29.2,1.1,0.32,0.08,0.29,18.5,0,0,0,0.08,0.08,0.07,0.01,0.01,Matches
2690,Yoann Touzghar\4e47507a,tn TUN,FW,Troyes,fr Ligue 1,34,1986,16.2,0.25,1.67,0.74,44.4,1.67,0.74,0.15,0.33,12.8,0,0,0,0.29,0.29,0.18,-0.04,-0.04,Matches
2691,Andros Townsend\b28bbd58,eng ENG,MF,Everton,eng Premier League,30,1991,16.2,0.19,1.23,0.56,45,1.24,0.56,0.1,0.22,21.2,0.25,0.06,0.06,0.14,0.09,0.07,0.04,0.03,Matches
2692,Adama Traoré\9a28eba4,es ESP,FW,Wolves,eng Premier League,25,1996,11.9,0.08,1.93,0.5,26.1,1.94,0.51,0.04,0.17,18.9,0,0,0,0.2,0.2,0.11,-0.12,-0.12,Matches
2693,Adama Traoré\9a28eba4,es ESP,FWDF,Barcelona,es La Liga,25,1996,4.2,0,2.14,0.71,33.3,2.12,0.71,0,0,14.5,0,0,0,0.14,0.14,0.07,-0.14,-0.14,Matches
2694,Amadou Traore\4eb0686f,fr FRA,FW,Bordeaux,fr Ligue 1,19,2002,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
2695,Bertrand Traoré\c47541e0,bf BFA,MFFW,Aston Villa,eng Premier League,25,1995,2.4,0,3.33,0.42,12.5,3.27,0.41,0,0,16.8,0,0,0,0.13,0.13,0.04,-0.13,-0.13,Matches
2696,Boubacar Traoré\999ceb5f,ml MLI,MF,Metz,fr Ligue 1,19,2001,19.2,0.05,1.15,0.26,22.7,1.15,0.26,0.05,0.2,27.4,0,0,0,0.04,0.04,0.04,0.01,0.01,Matches
2697,Charles Traore\de488e56,ml MLI,DF,Nantes,fr Ligue 1,29,1992,8,0,0.13,0.13,100,0.13,0.13,0,0,23,0,0,0,0,0,0.04,0,0,Matches
2698,Hamari Traoré\a4b1028a,ml MLI,DF,Rennes,fr Ligue 1,29,1992,32.1,0.09,0.97,0.28,29,0.97,0.28,0.1,0.33,16.9,0,0,0,0.05,0.05,0.05,0.04,0.04,Matches
2699,Ismaël Traoré\b666421b,ci CIV,DF,Angers,fr Ligue 1,34,1986,35.7,0.11,0.73,0.25,34.6,0.73,0.25,0.15,0.44,8.6,0,0,0,0.1,0.1,0.14,0.01,0.01,Matches
2700,Kevin Trapp\ce17b5eb,de GER,GK,Eint Frankfurt,de Bundesliga,31,1990,32,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
2701,Miguel Trauco\e4b72e34,pe PER,DF,Saint-Étienne,fr Ligue 1,28,1992,12.4,0.08,0.81,0.24,30,0.81,0.24,0.1,0.33,25,0.08,0,0,0.02,0.02,0.03,0.06,0.06,Matches
