,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
108,Adil Aouchiche\b94b8be1,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,19,2002,12,0,1.83,0.83,45.5,1.83,0.83,0,0,21.5,0,0,0,0.12,0.12,0.06,-0.12,-0.12,Matches
109,Dennis Appiah\feb5d3ab,fr FRA,DF,Nantes,fr Ligue 1,29,1992,23.3,0,0.09,0,0,0.09,0,0,,21.4,0,0,0,0,0,0.02,0,0,Matches
110,Mauro Arambarri\58afe001,uy URU,MF,Getafe,es La Liga,25,1995,29.6,0,1.25,0.27,21.6,1.25,0.27,0,0,26.6,0.07,0,0,0.04,0.04,0.03,-0.04,-0.04,Matches
111,Mattia Aramu\0847b5a5,it ITA,MFFW,Venezia,it Serie A,26,1995,23.3,0.3,2.45,0.69,28.1,2.44,0.69,0.07,0.25,23.9,0.73,0.13,0.17,0.3,0.17,0.07,0,0,Matches
112,Charles Aránguiz\56413b1f,cl CHI,MF,Leverkusen,de Bundesliga,32,1989,17.5,0.06,0.63,0.17,27.3,0.63,0.17,0.09,0.33,19,0,0,0,0.09,0.09,0.15,-0.03,-0.03,Matches
113,Néstor Araujo\27a013f7,mx MEX,DF,Celta Vigo,es La Liga,29,1991,29.1,0,0.27,0.03,12.5,0.28,0.03,0,0,21.7,0,0,0,0.01,0.01,0.03,-0.01,-0.01,Matches
114,Ronald Araújo\2bef2bca,uy URU,DF,Barcelona,es La Liga,22,1999,25.2,0.16,0.75,0.4,52.6,0.75,0.4,0.21,0.4,11.4,0,0,0,0.06,0.06,0.08,0.1,0.1,Matches
115,Cameron Archer\05e8ca6d,eng ENG,MFFW,Aston Villa,eng Premier League,19,2001,0.3,0,3.33,0,0,3.33,0,0,,13,0,0,0,0,0,0.02,0,0,Matches
116,Alphonse Areola\2f965a72,fr FRA,GK,West Ham,eng Premier League,28,1993,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
117,Jesús Areso\94e01ec6,es ESP,DF,Osasuna,es La Liga,22,1999,2.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
118,Matias Arezo\484ebdb0,uy URU,FW,Granada,es La Liga,18,2002,1.8,0,2.78,1.67,60,2.78,1.67,0,0,16.5,0,0,0,0.56,0.56,0.19,-0.56,-0.56,Matches
119,Santiago Arias\fdd60087,co COL,DF,Granada,es La Liga,29,1992,4.9,0.2,0.61,0.2,33.3,0.61,0.2,0.33,1,14.1,0,0,0,0.12,0.12,0.21,0.08,0.08,Matches
