,,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
79,Emmanuel Amankwaa Akurugu\69c5633e,gh GHA,DF,Getafe,es La Liga,19,2001,0.9,1,1.14,1,0,0,0,0,0,1,1.14,1,0,0,0,0,0,Matches
80,Daniel Amartey\1a4ef233,gh GHA,DF,Leicester City,eng Premier League,26,1994,23.6,17,0.72,16,0,0,0,0,1,1,0.04,1,0,0,0,0,0,Matches
81,Amath\f3b1d9a2,sn SEN,FWMF,Mallorca,es La Liga,25,1996,9.8,18,1.83,10,0,1,2,4,1,2,0.2,1,0,0,1,0,0,Matches
82,Jordan Amavi\22721b88,fr FRA,DF,Nice,fr Ligue 1,27,1994,4.6,5,1.09,4,0,0,0,1,0,1,0.22,0,0,0,0,1,0,Matches
83,Jordan Amavi\22721b88,fr FRA,DF,Marseille,fr Ligue 1,27,1994,1.4,1,0.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
84,Wisdom Amey\35b4bc62,it ITA,DF,Bologna,it Serie A,15,2005,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
85,Kelvin Amian\bcc81786,fr FRA,DF,Spezia,it Serie A,23,1998,29.4,28,0.95,21,1,2,2,2,0,1,0.03,1,0,0,0,0,0,Matches
86,Nadiem Amiri\555d5edd,de GER,MFFW,Leverkusen,de Bundesliga,24,1996,4.1,7,1.71,5,1,0,0,1,0,1,0.24,0,0,0,0,1,0,Matches
87,Nadiem Amiri\555d5edd,de GER,MFFW,Genoa,it Serie A,24,1996,7.6,29,3.82,22,4,2,0,1,0,1,0.13,1,0,0,0,0,0,Matches
88,Ethan Ampadu\10b9fa99,wls WAL,MFDF,Venezia,it Serie A,20,2000,25.4,36,1.42,34,1,1,0,0,0,5,0.2,5,0,0,0,0,0,Matches
89,Sofyan Amrabat\5a2cb25d,ma MAR,MF,Fiorentina,it Serie A,24,1996,10.5,16,1.53,13,0,0,0,2,1,0,0,0,0,0,0,0,0,Matches
90,Joachim Andersen\e34fc66d,dk DEN,DF,Crystal Palace,eng Premier League,25,1996,32.4,33,1.02,29,1,0,1,0,2,5,0.15,4,0,0,1,0,0,Matches
91,Felipe Anderson\9f1893b9,br BRA,FW,Lazio,it Serie A,28,1993,32.1,102,3.18,80,3,7,3,9,0,17,0.53,11,0,4,2,0,0,Matches
92,Sebastian Andersson\b4cf5806,se SWE,FW,Köln,de Bundesliga,30,1991,14,22,1.58,18,0,0,1,2,1,4,0.29,3,0,0,0,1,0,Matches
93,Florin Andone\dc008610,ro ROU,FW,Cádiz,es La Liga,28,1993,2,4,2.05,3,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
94,Andrés Andrade Cedeño\6ea23758,pa PAN,DF,Arminia,de Bundesliga,22,1998,11.6,6,0.52,5,0,0,1,0,0,1,0.09,1,0,0,0,0,0,Matches
95,Fredrik André Bjørkan\3724baa1,no NOR,DF,Hertha BSC,de Bundesliga,22,1998,3.9,7,1.78,5,1,0,0,1,0,0,0,0,0,0,0,0,0,Matches
96,Benjamin André\ef9c1c95,fr FRA,MF,Lille,fr Ligue 1,30,1990,30.6,43,1.41,35,0,2,3,1,2,4,0.13,3,0,0,1,0,0,Matches
97,Robert Andrich\e0b113a7,de GER,MF,Leverkusen,de Bundesliga,26,1994,20.2,31,1.54,21,0,2,4,3,1,5,0.25,2,0,0,3,0,0,Matches
98,José Ángel\3024e383,es ESP,DF,Osasuna,es La Liga,31,1989,12,16,1.33,14,1,0,1,0,0,2,0.17,1,0,0,1,0,0,Matches
99,Angeliño\30941e96,es ESP,DF,RB Leipzig,de Bundesliga,24,1997,25.5,81,3.17,51,23,2,3,1,1,10,0.39,6,4,0,0,0,0,Matches
100,Ebenezer Annan\39aa05a7,gh GHA,DF,Bologna,it Serie A,18,2002,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
101,Cristian Ansaldi\bbafc0c4,ar ARG,DF,Torino,it Serie A,34,1986,7.7,24,3.13,16,3,2,2,1,0,5,0.65,4,0,0,1,0,0,Matches
102,Janis Antiste\38d9ce53,fr FRA,FW,Spezia,it Serie A,18,2002,8.8,11,1.24,8,0,2,1,0,0,0,0,0,0,0,0,0,0,Matches
103,Waldemar Anton\5e66fa06,de GER,DF,Stuttgart,de Bundesliga,25,1996,28.8,30,1.04,25,1,0,0,1,3,2,0.07,2,0,0,0,0,0,Matches
104,Josep Antoni Gayá\4a5f2032,es ESP,DF,Mallorca,es La Liga,21,2000,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
105,Michail Antonio\ac05f970,jm JAM,FW,West Ham,eng Premier League,31,1990,33,102,3.09,65,0,13,10,8,6,17,0.51,9,0,1,4,2,1,Matches
106,Christopher Antwi-Adjei\0a3f6cde,gh GHA,FWMF,Bochum,de Bundesliga,27,1994,12.6,23,1.83,12,2,0,3,5,1,2,0.16,1,0,0,0,1,0,Matches
107,Houssem Aouar\a5db0bec,fr FRA,MFFW,Lyon,fr Ligue 1,23,1998,27.8,102,3.67,74,3,9,9,4,3,6,0.22,5,0,0,1,0,0,Matches
108,Adil Aouchiche\b94b8be1,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,19,2002,12,35,2.91,20,7,2,0,6,0,6,0.5,4,1,0,0,1,0,Matches
109,Dennis Appiah\feb5d3ab,fr FRA,DF,Nantes,fr Ligue 1,29,1992,23.3,16,0.69,13,1,1,0,0,1,0,0,0,0,0,0,0,0,Matches
110,Mauro Arambarri\58afe001,uy URU,MF,Getafe,es La Liga,25,1995,29.6,70,2.37,30,29,4,2,3,2,11,0.37,4,4,2,0,0,1,Matches
111,Mattia Aramu\0847b5a5,it ITA,MFFW,Venezia,it Serie A,26,1995,23.3,71,3.04,31,19,4,2,14,1,10,0.43,7,1,0,0,2,0,Matches
112,Charles Aránguiz\56413b1f,cl CHI,MF,Leverkusen,de Bundesliga,32,1989,17.5,33,1.88,30,1,1,0,0,1,6,0.34,5,0,1,0,0,0,Matches
113,Néstor Araujo\27a013f7,mx MEX,DF,Celta Vigo,es La Liga,29,1991,29.1,8,0.28,6,0,1,1,0,0,2,0.07,2,0,0,0,0,0,Matches
114,Ronald Araújo\2bef2bca,uy URU,DF,Barcelona,es La Liga,22,1999,25.2,13,0.51,10,0,0,2,1,0,0,0,0,0,0,0,0,0,Matches
115,Cameron Archer\05e8ca6d,eng ENG,MFFW,Aston Villa,eng Premier League,19,2001,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
116,Alphonse Areola\2f965a72,fr FRA,GK,West Ham,eng Premier League,28,1993,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
117,Jesús Areso\94e01ec6,es ESP,DF,Osasuna,es La Liga,22,1999,2.1,2,0.96,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
